Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status;Gerado em
P1;APO 10 - Conta Corrente Integrado (Recria) - 0015_04 PLU_AGRO 0015 SALTO LONTRA PR OVOS FERTEIS;PLUMA_AGRO.PPE.3742.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0018_04 PLU_AGRO 0018 RIO CLARO SP OVOS FERTEIS;PLUMA_AGRO.PPE.4063.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0019_04 PLU_AGRO 0019 SAO CARLOS SP OVOS FERTEIS;PLUMA_AGRO.PPE.2631.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0023_04 PLU_AGRO 0023 SAO CARLOS SP OVOS FERTEIS;PLUMA_AGRO.PPE.3798.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0025_04 PLU_AGRO 0025 RIB BONITO SP OVOS FERTEIS;PLUMA_AGRO.PPE.2362.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0029_04 PLU_AGRO 0029 FORMOSA GO OVOS FERTEIS;PLUMA_AGRO.PPE.2090.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0035_04 PLU_AGRO 0035 BRASILIA DF OVOS FERTEIS;PLUMA_AGRO.PPE.3585.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0036_04 PLU_AGRO 0036 BRASILIA DF OVOS FERTEIS;PLUMA_AGRO.PPE.2302.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0039_04 PLU_AGRO 0039 BAURU SP OVOS FERTEIS;PLUMA_AGRO.PPE.3424.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0040_04 PLU_AGRO 0040 SAO CARLOS SP OVOS FERTEIS;PLUMA_AGRO.PPE.1514.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0043_04 PLU_AGRO 0043 FX DOS GUEDES SC OVOS FERTEIS;PLUMA_AGRO.PPE.3405.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0044_04 PLU_AGRO 0044 FX DOS GUEDES SC OVOS FERTEIS;PLUMA_AGRO.PPE.2369.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0046_04 PLU_AGRO 0046 CONCHAS SP OVOS FERTEIS;PLUMA_AGRO.PPE.4649.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0048_04 PLU_AGRO 0048 TOLEDO PR OVOS FERTEIS;PLUMA_AGRO.PPE.4637.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0049_04 PLU_AGRO 0049 CASCAVEL PR OVOS FERTEIS;PLUMA_AGRO.PPE.3321.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
